,Name,Team,Age,height,weigth,college,Country,draft year,draft number,draft round,Games Played,pts,reb,ast,net rating,season,stat
1,Dwight Powell,DAL,30,208.28,108.86,Stanford,Canada,2014,2,45,82,8.7,4.9,1.2,2.5,2021-22,0.1804878049
2,Deni Avdija,WAS,21,205.74,95.25,None,Israel,2020,1,9,82,8.4,5.2,2,-1,2021-22,0.1902439024
3,Saddiq Bey,DET,23,200.66,97.52,Villanova,USA,2020,1,19,82,16.1,5.4,2.8,-9.3,2021-22,0.2963414634
4,Kevon Looney,GSW,26,205.74,100.7,UCLA,USA,2015,1,30,82,6,7.3,2,6,2021-22,0.1865853659
5,Mikal Bridges,PHX,25,198.12,94.8,Villanova,USA,2018,1,10,82,14.2,4.2,2.3,9.8,2021-22,0.2524390244
6,Buddy Hield,IND,29,193.04,99.79,Oklahoma,Bahamas,2016,1,6,81,15.6,4.4,2.8,-3.6,2021-22,0.2814814815
7,Alec Burks,NYK,30,198.12,97.07,Colorado,USA,2011,1,12,81,11.7,4.9,3,2.3,2021-22,0.2419753086
8,Patty Mills,BKN,33,182.88,81.65,St.Mary's College of California,Australia,2009,2,55,81,11.4,1.9,2.3,1.5,2021-22,0.1925925926
9,Terance Mann,LAC,25,195.58,97.52,Florida State,USA,2019,2,48,81,10.8,5.2,2.6,1.5,2021-22,0.2296296296
10,Dorian Finney-Smith,DAL,29,200.66,99.79,Florida,USA,Undrafted,Undrafted,Undrafted,80,11,4.7,1.9,4.4,2021-22,0.22
11,Evan Fournier,NYK,29,198.12,92.99,None,France,2012,1,20,80,14.1,2.6,2.1,-2.7,2021-22,0.235
12,Chris Boucher,TOR,29,205.74,90.72,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,80,9.4,6.2,0.3,5.3,2021-22,0.19875
13,Miles Bridges,CHA,24,200.66,102.06,Michigan State,USA,2018,1,12,80,20.2,7,3.8,2.1,2021-22,0.3875
14,Duncan Robinson,MIA,28,200.66,97.52,Michigan,USA,Undrafted,Undrafted,Undrafted,79,10.9,2.6,1.6,2.6,2021-22,0.1911392405
15,Franz Wagner,ORL,20,208.28,99.79,Michigan,Germany,2021,1,8,79,15.2,4.5,2.9,-4.9,2021-22,0.2860759494
16,Jalen Brunson,DAL,25,185.42,86.18,Villanova,USA,2018,2,33,79,16.3,3.9,4.8,4.4,2021-22,0.3164556962
17,Jordan Clarkson,UTA,30,193.04,88,Missouri,USA,2014,2,46,79,16,3.5,2.5,8.7,2021-22,0.2784810127
18,Kenyon Martin Jr.,HOU,21,195.58,97.52,None,USA,2020,2,52,79,8.8,3.8,1.3,-6.9,2021-22,0.1759493671
19,Malik Beasley,MIN,25,193.04,84.82,Florida State,USA,2016,1,19,79,12.1,2.9,1.5,2,2021-22,0.2088607595
20,Immanuel Quickley,NYK,23,190.5,86.18,Kentucky,USA,2020,1,25,78,11.3,3.2,3.5,6.6,2021-22,0.2307692308
21,Herbert Jones,NOP,23,200.66,93.44,Alabama,USA,2021,2,35,78,9.5,3.8,2.1,2,2021-22,0.1974358974
22,Jaren Jackson Jr.,MEM,22,210.82,109.77,Michigan State,USA,2018,1,4,78,16.3,5.8,1.1,7.9,2021-22,0.2974358974
23,Jae'Sean Tate,HOU,26,193.04,104.33,Ohio State,USA,Undrafted,Undrafted,Undrafted,78,11.8,5.4,2.8,-8.9,2021-22,0.2564102564
24,Russell Westbrook,LAL,33,190.5,90.72,UCLA,USA,2008,1,4,78,18.5,7.4,7.1,-4,2021-22,0.4230769231
25,Torrey Craig,PHX,31,200.66,100.24,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,78,6.6,4,1.2,-5,2021-22,0.1512820513
